month,day,year,time,actual,forecast,previous,datetime
Apr,3,2019, 17:30,7.238,-0.425,2.8,2019-04-03 17:30:00
Mar,27,2019, 17:30,2.8,-1.1,-9.589,2019-03-27 17:30:00
Mar,20,2019, 17:30,-9.589,0.309,-3.862,2019-03-20 17:30:00
Mar,13,2019, 17:30,-3.862,2.655,7.069,2019-03-13 17:30:00
Mar,6,2019, 18:30,7.069,1.203,-8.647,2019-03-06 18:30:00
Feb,27,2019, 18:30,-8.647,2.842,3.672,2019-02-27 18:30:00
Feb,21,2019, 19:00,3.672,3.08,3.633,2019-02-21 19:00:00
Feb,13,2019, 18:30,3.633,2.668,1.263,2019-02-13 18:30:00
Feb,6,2019, 18:30,1.263,2.179,0.919,2019-02-06 18:30:00
Jan,30,2019, 18:30,0.919,3.1,7.97,2019-01-30 18:30:00
Jan,24,2019, 19:00,7.97,-0.042,-2.683,2019-01-24 19:00:00
Jan,16,2019, 18:30,-2.683,-1.323,-1.68,2019-01-16 18:30:00
Jan,9,2019, 18:30,-1.68,-2.4,0.007,2019-01-09 18:30:00
Jan,4,2019, 19:00,0.007,-3.086,-0.046,2019-01-04 19:00:00
